taxid	name	rank	species_taxid	species_name	ogt	regime	ogt_match_type	ogt_row_count	ogt_temp_min	ogt_temp_max	ogt_raw_temps	ogt_sources	ogt_source_ids	ogt_parse_modes	ogt_has_range	ogt_range_count	ogt_source_taxids	superkingdom	phylum	class	order	family	genus
1581420	Aurantiacibacter luteus	species	1581420	Aurantiacibacter luteus	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura5533	point	no	0	1581420	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Aurantiacibacter
1582355	Christiangramia aestuariivivens	species	1582355	Christiangramia aestuariivivens	32.5	meso	exact_taxid	1	32.5	32.5	32.5	Tempura	Tempura6039	point	no	0	1582355	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Christiangramia
1582356	Sphingomicrobium aestuariivivum	species	1582356	Sphingomicrobium aestuariivivum	35.0	meso	exact_taxid	1	35.0	35.0	35.0	Tempura	Tempura3481	point	no	0	1582356	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium
1582364	Demequina activiva	species	1582364	Demequina activiva	35.0	meso	exact_taxid	1	35.0	35.0	35.0	Tempura	Tempura3480	point	no	0	1582364	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Demequinaceae	Demequina
1582439	Nitrosopumilus piranensis	species	1582439	Nitrosopumilus piranensis	32.0	meso	exact_taxid	1	32.0	32.0	32.0	Tempura	Tempura4876	point	no	0	1582439	Archaea	Nitrososphaerota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
1582803	Flavobacterium vireti	species	1582803	Flavobacterium vireti	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura7674	point	no	0	1582803	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
1582807	Lysobacter agri	species	1582807	Lysobacter agri	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura5537	point	no	0	1582807	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter
1585241	Paenibacillus qingshengii	species	1585241	Paenibacillus qingshengii	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura5038	point	no	0	1585241	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
1586232	Natribaculum luteum	species	1586232	Natribaculum luteum	45.0	thermo	exact_taxid	2	45.0	45.0	45.0;45.0	Tempura;ThermoBase	ThermoBase954;Tempura1024	point	no	0	1586232	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Natrialbaceae	Natribaculum
1586233	Halomicrobium urmianum	species	1586233	Halomicrobium urmianum	45.0	thermo	exact_taxid	2	45.0	45.0	45.0;45.0	Tempura;ThermoBase	ThermoBase847;Tempura823	point	no	0	1586233	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium
1586242	Luteimonas arsenica	species	1586242	Luteimonas arsenica	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura2857	point	no	0	1586242	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Luteimonas
1586287	Lentzea guizhouensis	species	1586287	Lentzea guizhouensis	26.5	meso	exact_taxid	1	26.5	26.5	26.5	Tempura	Tempura6451	point	no	0	1586287	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Lentzea
1586750	Rheinheimera gaetbuli	species	1586750	Rheinheimera gaetbuli	22.5	meso	exact_taxid	1	22.5	22.5	22.5	Tempura	Tempura7219	point	no	0	1586750	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera
1586751	Rheinheimera aestuarii	species	1586751	Rheinheimera aestuarii	22.5	meso	exact_taxid	1	22.5	22.5	22.5	Tempura	Tempura4640	point	no	0	1586751	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera
1587527	Domibacillus tundrae	species	1587527	Domibacillus tundrae	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura2856	point	no	0	1587527	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Domibacillus
1588641	Subtercola lobariae	species	1588641	Subtercola lobariae	20.0	meso	exact_taxid	1	20.0	20.0	20.0	Tempura	Tempura8340	point	no	0	1588641	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Subtercola
1588644	Nocardioides deserti	species	1588644	Nocardioides deserti	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura3165	point	no	0	1588644	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides
1589181	Sphingomonas parvus	species	1589181	Sphingomonas parvus	35.0	meso	exact_taxid	1	35.0	35.0	35.0	Tempura	Tempura6624	point	no	0	1589181	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
1590614	Actibacterium ureilyticum	species	1590614	Actibacterium ureilyticum	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura3679	point	no	0	1590614	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Actibacterium
1590643	Pedobacter alpinus	species	1590643	Pedobacter alpinus	20.0	meso	exact_taxid	1	20.0	20.0	20.0	Tempura	Tempura8450	point	no	0	1590643	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
1590652	Cohnella kolymensis	species	1590652	Cohnella kolymensis	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura2653	point	no	0	1590652	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Cohnella
1591085	Dyadobacter jiangsuensis	species	1591085	Dyadobacter jiangsuensis	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Tempura	Tempura7828	point	no	0	1591085	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomataceae	Dyadobacter
1591092	Aquaspirillum soli	species	1591092	Aquaspirillum soli	33.5	meso	exact_taxid	1	33.5	33.5	33.5	Tempura	Tempura3003	point	no	0	1591092	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Aquaspirillaceae	Aquaspirillum
1591105	Devosia humi	species	1591105	Devosia humi	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura7673	point	no	0	1591105	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia
1591114	Pseudoxanthomonas humi	species	1591114	Pseudoxanthomonas humi	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura5536	point	no	0	1591114	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas
1591116	Sphingobium soli	species	1591116	Sphingobium soli	26.5	meso	exact_taxid	1	26.5	26.5	26.5	Tempura	Tempura7192	point	no	0	1591116	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
1591118	Taibaiella yonginensis	species	1591118	Taibaiella yonginensis	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura8075	point	no	0	1591118	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella
1591122	Hydrogenophaga luteola	species	1591122	Hydrogenophaga luteola	32.5	meso	exact_taxid	1	32.5	32.5	32.5	Tempura	Tempura6006	point	no	0	1591122	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
1591124	Sphingobacterium mucilaginosum	species	1591124	Sphingobacterium mucilaginosum	31.0	meso	exact_taxid	1	31.0	31.0	31.0	Tempura	Tempura6023	point	no	0	1591124	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
1591407	Flavobacterium lacunae	species	1591407	Flavobacterium lacunae	22.5	meso	exact_taxid	1	22.5	22.5	22.5	Tempura	Tempura8228	point	no	0	1591407	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
1591408	Sporolactobacillus pectinivorans	species	1591408	Sporolactobacillus pectinivorans	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Tempura	Tempura3362	point	no	0	1591408	Bacteria	Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus
1591409	Pseudohalocynthiibacter aestuariivivens	species	1591409	Pseudohalocynthiibacter aestuariivivens	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Tempura	Tempura8100	point	no	0	1591409	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pseudohalocynthiibacter
1592105	Tellurimicrobium multivorans	species	1592105	Tellurimicrobium multivorans	35.5	meso	exact_taxid	1	35.5	35.5	35.5	Tempura	Tempura2688	point	no	0	1592105	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Tellurimicrobium
1592106	Terriglobus albidus	species	1592106	Terriglobus albidus	33.0	meso	exact_taxid	1	33.0	33.0	33.0	Tempura	Tempura2676	point	no	0	1592106	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus
1592317	Desulfoplanes formicivorans	species	1592317	Desulfoplanes formicivorans	43.5	meso	exact_taxid	2	43.5	43.5	43.5;43.5	Tempura;ThermoBase	ThermoBase964;Tempura1272	point	no	0	1592317	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfoplanaceae	Desulfoplanes
1592324	Prauserella endophytica	species	1592324	Prauserella endophytica	32.5	meso	exact_taxid	1	32.5	32.5	32.5	Tempura	Tempura3077	point	no	0	1592324	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Prauserella
1592790	Sphingobium phenoxybenzoativorans	species	1592790	Sphingobium phenoxybenzoativorans	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura3678	point	no	0	1592790	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
1593234	Chryseobacterium frigidum	species	1593234	Chryseobacterium frigidum	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura6152	point	no	0	1593234	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
1593363	Pseudogracilibacillus marinus	species	1593363	Pseudogracilibacillus marinus	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura1940	point	no	0	1593363	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus
1594399	Lysobacter novalis	species	1594399	Lysobacter novalis	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura6049	point	no	0	1594399	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter
1594400	Sphingomonas flava	species	1594400	Sphingomonas flava	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Tempura	Tempura8099	point	no	0	1594400	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
1597968	Falsiroseomonas arcticisoli	species	1597968	Falsiroseomonas arcticisoli	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Tempura	Tempura6262	point	no	0	1597968	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Falsiroseomonas
1597969	Sphingoaurantiacus polygranulatus	species	1597969	Sphingoaurantiacus polygranulatus	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura6151	point	no	0	1597969	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Sphingoaurantiacus
1597977	Spirosoma fluviale	species	1597977	Spirosoma fluviale	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Tempura	Tempura8098	point	no	0	1597977	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma
1598147	Planococcus faecalis	species	1598147	Planococcus faecalis	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Tempura	Tempura7827	point	no	0	1598147	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Planococcus
1601833	Salipaludibacillus aurantiacus	species	1601833	Salipaludibacillus aurantiacus	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Tempura	Tempura1645	point	no	0	1601833	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus
1602942	Cytobacillus depressus	species	1602942	Cytobacillus depressus	31.5	meso	exact_taxid	1	31.5	31.5	31.5	Tempura	Tempura4411	point	no	0	1602942	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus
1602943	Vreelandella lutescens	species	1602943	Vreelandella lutescens	31.5	meso	exact_taxid	1	31.5	31.5	31.5	Tempura	Tempura6062	point	no	0	1602943	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Vreelandella
1603298	Cypionkella collinsensis	species	1603298	Cypionkella collinsensis	22.5	meso	exact_taxid	1	22.5	22.5	22.5	Tempura	Tempura8227	point	no	0	1603298	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Cypionkella
1603353	Massilia psychrophila	species	1603353	Massilia psychrophila	15.0	psychro	exact_taxid	1	15.0	15.0	15.0	Tempura	Tempura8493	point	no	0	1603353	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
1603869	Stenotrophobacter roseus	species	1603869	Stenotrophobacter roseus	34.5	meso	exact_taxid	1	34.5	34.5	34.5	Tempura	Tempura3234	point	no	0	1603869	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter
1603870	Brevitalea deliciosa	species	1603870	Brevitalea deliciosa	35.0	meso	exact_taxid	1	35.0	35.0	35.05	Tempura	Tempura4770	point	no	0	1603870	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Arenimicrobiaceae	Brevitalea
1603871	Stenotrophobacter namibiensis	species	1603871	Stenotrophobacter namibiensis	35.5	meso	exact_taxid	1	35.5	35.5	35.5	Tempura	Tempura5957	point	no	0	1603871	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter
1603886	Bifidobacterium lemurum	species	1603886	Bifidobacterium lemurum	39.5	meso	exact_taxid	1	39.5	39.5	39.5	Tempura	Tempura1500	point	no	0	1603886	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
1604334	Lysobacter tolerans	species	1604334	Lysobacter tolerans	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura4018	point	no	0	1604334	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter
1604721	Paenibacillus rhizoryzae	species	1604721	Paenibacillus rhizoryzae	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura1939	point	no	0	1604721	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
1605367	Jiulongibacter sediminis	species	1605367	Jiulongibacter sediminis	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Tempura	Tempura6261	point	no	0	1605367	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Leadbetterellaceae	Jiulongibacter
1605838	Pseudomonas coleopterorum	species	1605838	Pseudomonas coleopterorum	22.0	meso	exact_taxid	1	22.0	22.0	22.0	Tempura	Tempura8268	point	no	0	1605838	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
1605891	Lysobacter maris	species	1605891	Lysobacter maris	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura3677	point	no	0	1605891	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter
1605892	Dysgonomonas alginatilytica	species	1605892	Dysgonomonas alginatilytica	35.0	meso	exact_taxid	1	35.0	35.0	35.0	Tempura	Tempura4849	point	no	0	1605892	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas
1607685	Salininema proteolyticum	species	1607685	Salininema proteolyticum	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura3676	point	no	0	1607685	Bacteria	Actinomycetota	Actinomycetes	Glycomycetales	Glycomycetaceae	Salininema
